Player Name,Composite Metric,Salary
Kennedy Chandler,7.7311,1200000
Dalen Terry,7.6772,3191400
Frank Kaminsky,7.664599999999999,1836090
Matt Ryan,7.5634999999999994,1836090
Cody Zeller,7.56135,517060
Patrick Baldwin Jr.,7.459699999999999,2226000
Kenneth Lofton Jr.,7.4213499999999994,1000000
Kemba Walker,7.316049999999999,1392896
Boban Marjanovic,7.269149999999998,601478
Kira Lewis Jr.,7.26775,4004280
Joshua Primo,7.077299999999998,4144320
Daniel Theis,7.01385,8694369
Terry Taylor,6.975999999999998,1563518
Thanasis Antetokounmpo,6.891749999999998,1878720
Jonathan Isaac,6.820750000000001,17400000
KZ Okpala,6.636049999999998,1782621
Nikola Jovic,6.450300000000001,2239920
David Duke Jr.,6.3731,28241
Bryn Forbes,6.31805,1836090
Matthew Dellavedova,6.297,1836090
Peyton Watson,6.2546,2193960
Otto Porter Jr.,6.170000000000001,6000000
Alex Len,5.951649999999999,3918000
Cody Martin,5.80945,7000000
Wendell Moore Jr.,5.7959499999999995,2306520
Jarrett Culver,5.71475,6395160
Danny Green,5.61745,2000000
Vit Krejci,5.595249999999999,1563518
Nerlens Noel,5.58805,9240000
Garrett Temple,5.52,4910000
Xavier Cooks,5.475350000000001,140384
James Johnson,5.437449999999998,590926
Jared Butler,5.378450000000001,1563518
Meyers Leonard,5.22415,284911
Josh Minott,4.989999999999998,1017781
Khem Birch,4.989699999999999,6667500
Noah Vonleh,4.987899999999999,1836090
Sam Merrill,4.9304499999999996,850000
Omer Yurtseven,4.869649999999999,1752638
Jason Preston,4.80195,1563518
Jaden Springer,4.669299999999999,2125200
Jarrell Brantley,4.58855,1669178
Justin Jackson,4.517949999999999,1836090
Ryan Arcidiacono,4.472149999999999,1836090
Andre Iguodala,4.22335,1836090
Trevelin Queen,4.20205,1637966
Michael Carter-Williams,4.166449999999999,652829
Greg Brown III,4.129649999999998,1563518
Udonis Haslem,3.9822499999999996,1836090
PJ Dozier,3.9051499999999995,539450
Xavier Sneed,3.835,8558
Tyrese Martin,3.42955,1017781
Carlik Jones,3.3350000000000004,357717
Ryan Rollins,3.182499999999999,1017781
Tony Bradley,3.0949999999999993,2036318
Justin Champagnie,2.85665,28241
Leandro Bolmaro,2.7624999999999993,2353320
Isaiah Todd,2.6078999999999994,1575000
Vernon Carey Jr.,2.5474999999999994,1782621
Mfiondu Kabengele,2.5142999999999995,1701593
Alize Johnson,2.4400000000000004,1392896
Kobi Simmons,2.13835,32795
Joe Wieskamp,2.1257,554989
Sterling Brown,1.8450000000000002,3000000
Dylan Windler,1.6683499999999996,4037278
Marko Simonovic,1.6392999999999998,1563518
Chima Moneke,1.1749999999999998,1017781
